,func,input,result
0,Our Formula +1,(2),0
1,Our Formula -1,(2),0
2,Our Formula 0,(2),0
3,Our Formula +1,(4),0
4,Our Formula -1,(4),0
5,Our Formula 0,(4),0
6,Our Formula +1,(6),4
7,Our Formula -1,(6),0
8,Our Formula 0,(6),2
9,Our Formula +1,(8),6
10,Our Formula -1,(8),0
11,Our Formula 0,(8),2
12,Our Formula +1,(10),12
13,Our Formula -1,(10),0
14,Our Formula 0,(10),28
15,Our Formula +1,(12),15
16,Our Formula -1,(12),1
17,Our Formula 0,(12),8
18,Our Formula +1,(14),24
19,Our Formula -1,(14),0
20,Our Formula 0,(14),102
21,Our Formula +1,(16),47
22,Our Formula -1,(16),1
23,Our Formula 0,(16),48
24,Our Formula +1,(18),40
25,Our Formula -1,(18),0
26,Our Formula 0,(18),176
27,Our Formula +1,(20),46
28,Our Formula -1,(20),2
29,Our Formula 0,(20),112
30,Our Formula +1,(22),60
31,Our Formula -1,(22),0
32,Our Formula 0,(22),490
33,Our Formula +1,(24),96
34,Our Formula -1,(24),4
35,Our Formula 0,(24),140
36,Our Formula +1,(26),84
37,Our Formula -1,(26),0
38,Our Formula 0,(26),852
39,Our Formula +1,(28),93
40,Our Formula -1,(28),3
41,Our Formula 0,(28),408
42,Our Formula +1,(30),136
43,Our Formula -1,(30),0
44,Our Formula 0,(30),704
45,Our Formula +1,(32),173
46,Our Formula -1,(32),3
47,Our Formula 0,(32),720
48,Our Formula +1,(34),144
49,Our Formula -1,(34),0
50,Our Formula 0,(34),2032
51,Our Formula +1,(36),156
52,Our Formula -1,(36),4
53,Our Formula 0,(36),704
54,Our Formula +1,(38),180
55,Our Formula -1,(38),0
56,Our Formula 0,(38),2898
57,Our Formula +1,(40),260
58,Our Formula -1,(40),8
59,Our Formula 0,(40),1172
60,Our Formula +1,(42),260
61,Our Formula -1,(42),0
62,Our Formula 0,(42),2260
63,Our Formula +1,(44),235
64,Our Formula -1,(44),5
65,Our Formula 0,(44),1960
66,Our Formula +1,(46),264
67,Our Formula -1,(46),0
68,Our Formula 0,(46),5302
69,Our Formula +1,(48),492
70,Our Formula -1,(48),12
71,Our Formula 0,(48),1608
72,Our Formula +1,(50),312
73,Our Formula -1,(50),0
74,Our Formula 0,(50),5688
75,Our Formula +1,(52),330
76,Our Formula -1,(52),6
77,Our Formula 0,(52),3408
78,Our Formula +1,(54),364
79,Our Formula -1,(54),0
80,Our Formula 0,(54),5954
81,Our Formula +1,(56),504
82,Our Formula -1,(56),12
83,Our Formula 0,(56),3852
84,Our Formula +1,(58),420
85,Our Formula -1,(58),0
86,Our Formula 0,(58),10948
87,Our Formula +1,(60),526
88,Our Formula -1,(60),18
89,Our Formula 0,(60),2816
90,Our Formula +1,(62),480
91,Our Formula -1,(62),0
92,Our Formula 0,(62),13470
93,Our Formula +1,(64),665
94,Our Formula -1,(64),7
95,Our Formula 0,(64),7008
96,Our Formula +1,(66),628
97,Our Formula -1,(66),0
98,Our Formula 0,(66),9932
99,Our Formula +1,(68),568
100,Our Formula -1,(68),8
101,Our Formula 0,(68),8128
102,Our Formula +1,(70),672
103,Our Formula -1,(70),0
104,Our Formula 0,(70),13608
105,Our Formula +1,(72),828
106,Our Formula -1,(72),16
107,Our Formula 0,(72),6500
108,Our Formula +1,(74),684
109,Our Formula -1,(74),0
110,Our Formula 0,(74),23292
111,Our Formula +1,(76),711
112,Our Formula -1,(76),9
113,Our Formula 0,(76),11592
114,Our Formula +1,(78),872
115,Our Formula -1,(78),0
116,Our Formula 0,(78),16912
117,Our Formula +1,(80),1242
118,Our Formula -1,(80),22
119,Our Formula 0,(80),10896
120,Our Formula +1,(82),840
