,func,input,result
0,Our Formula,"(1,1)",1
1,Direct Computation,"(1,1)",1
2,Our Formula,"(2,1)",1
3,Direct Computation,"(2,1)",1
6,Our Formula,"(3,1)",2
7,Direct Computation,"(3,1)",2
10,Our Formula,"(4,1)",2
11,Direct Computation,"(4,1)",2
14,Our Formula,"(4,4)",2
15,Direct Computation,"(4,4)",2
16,Our Formula,"(5,1)",2
17,Direct Computation,"(5,1)",2
18,Our Formula,"(5,5)",8
19,Direct Computation,"(5,5)",8
20,Our Formula,"(6,1)",2
21,Direct Computation,"(6,1)",2
22,Our Formula,"(6,2)",2
23,Direct Computation,"(6,2)",2
24,Our Formula,"(6,3)",4
25,Direct Computation,"(6,3)",4
26,Our Formula,"(6,6)",18
27,Direct Computation,"(6,6)",18
28,Our Formula,"(7,1)",2
29,Direct Computation,"(7,1)",2
30,Our Formula,"(7,7)",74
31,Direct Computation,"(7,7)",74
32,Our Formula,"(8,1)",4
33,Direct Computation,"(8,1)",4
34,Our Formula,"(8,2)",2
35,Direct Computation,"(8,2)",2
36,Our Formula,"(8,4)",14
37,Direct Computation,"(8,4)",14
38,Our Formula,"(9,1)",2
39,Direct Computation,"(9,1)",2
40,Our Formula,"(9,3)",14
41,Direct Computation,"(9,3)",14
42,Our Formula,"(10,1)",2
43,Direct Computation,"(10,1)",2
44,Our Formula,"(10,2)",4
45,Direct Computation,"(10,2)",4
46,Our Formula,"(10,5)",74
47,Direct Computation,"(10,5)",74
48,Our Formula,"(11,1)",2
49,Direct Computation,"(11,1)",2
50,Our Formula,"(12,1)",4
51,Direct Computation,"(12,1)",4
52,Our Formula,"(12,2)",4
53,Direct Computation,"(12,2)",4
54,Our Formula,"(12,3)",24
55,Direct Computation,"(12,3)",24
56,Our Formula,"(12,4)",56
57,Direct Computation,"(12,4)",56
58,Our Formula,"(12,6)",280
59,Direct Computation,"(12,6)",280
60,Our Formula,"(13,1)",2
61,Direct Computation,"(13,1)",2
62,Our Formula,"(14,1)",2
63,Direct Computation,"(14,1)",2
64,Our Formula,"(14,2)",6
65,Direct Computation,"(14,2)",6
66,Our Formula,"(14,7)",1382
67,Direct Computation,"(14,7)",1382
68,Our Formula,"(15,1)",4
69,Direct Computation,"(15,1)",4
70,Our Formula,"(15,3)",32
71,Direct Computation,"(15,3)",32
72,Our Formula,"(15,5)",312
73,Direct Computation,"(15,5)",312
74,Our Formula,"(16,1)",4
75,Direct Computation,"(16,1)",4
76,Our Formula,"(16,2)",12
77,Direct Computation,"(16,2)",12
78,Our Formula,"(16,4)",128
79,Direct Computation,"(16,4)",128
80,Our Formula,"(17,1)",2
81,Direct Computation,"(17,1)",2
82,Our Formula,"(18,1)",2
83,Direct Computation,"(18,1)",2
84,Our Formula,"(18,2)",8
85,Direct Computation,"(18,2)",8
86,Our Formula,"(18,3)",50
87,Direct Computation,"(18,3)",50
88,Our Formula,"(18,6)",1564
89,Direct Computation,"(18,6)",1564
90,Our Formula,"(19,1)",2
91,Direct Computation,"(19,1)",2
92,Our Formula,"(20,1)",4
93,Direct Computation,"(20,1)",4
94,Our Formula,"(20,2)",8
95,Direct Computation,"(20,2)",8
96,Our Formula,"(20,4)",204
97,Direct Computation,"(20,4)",204
98,Our Formula,"(20,5)",844
99,Direct Computation,"(20,5)",844
100,Our Formula,"(21,1)",4
101,Direct Computation,"(21,1)",4
102,Our Formula,"(21,3)",60
103,Direct Computation,"(21,3)",60
104,Our Formula,"(21,7)",9276
105,Direct Computation,"(21,7)",9276
106,Our Formula,"(22,1)",2
107,Direct Computation,"(22,1)",2
108,Our Formula,"(22,2)",10
109,Direct Computation,"(22,2)",10
110,Our Formula,"(23,1)",2
111,Direct Computation,"(23,1)",2
112,Our Formula,"(24,1)",8
113,Direct Computation,"(24,1)",8
114,Our Formula,"(24,2)",16
115,Direct Computation,"(24,2)",16
116,Our Formula,"(24,3)",112
117,Direct Computation,"(24,3)",112
118,Our Formula,"(24,4)",344
119,Direct Computation,"(24,4)",344
120,Our Formula,"(24,6)",5240
121,Direct Computation,"(24,6)",5240
122,Our Formula,"(25,1)",2
123,Direct Computation,"(25,1)",2
124,Our Formula,"(25,5)",1554
125,Direct Computation,"(25,5)",1554
126,Our Formula,"(26,1)",2
127,Direct Computation,"(26,1)",2
128,Our Formula,"(26,2)",12
129,Direct Computation,"(26,2)",12
130,Our Formula,"(27,1)",2
131,Direct Computation,"(27,1)",2
132,Our Formula,"(27,3)",98
133,Direct Computation,"(27,3)",98
134,Our Formula,"(28,1)",4
135,Direct Computation,"(28,1)",4
136,Our Formula,"(28,2)",12
137,Direct Computation,"(28,2)",12
138,Our Formula,"(28,4)",496
139,Direct Computation,"(28,4)",496
140,Our Formula,"(28,7)",36796
141,Direct Computation,"(28,7)",36796
142,Our Formula,"(29,1)",2
143,Direct Computation,"(29,1)",2
144,Our Formula,"(30,1)",4
145,Direct Computation,"(30,1)",4
146,Our Formula,"(30,2)",20
147,Direct Computation,"(30,2)",20
148,Our Formula,"(30,3)",120
149,Direct Computation,"(30,3)",120
150,Our Formula,"(30,5)",2964
151,Direct Computation,"(30,5)",2964
152,Our Formula,"(30,6)",11532
153,Direct Computation,"(30,6)",11532
154,Our Formula,"(31,1)",2
155,Direct Computation,"(31,1)",2
156,Our Formula,"(32,1)",4
157,Direct Computation,"(32,1)",4
158,Our Formula,"(32,2)",24
159,Direct Computation,"(32,2)",24
160,Our Formula,"(32,4)",948
161,Direct Computation,"(32,4)",948
162,Our Formula,"(33,1)",4
163,Direct Computation,"(33,1)",4
164,Our Formula,"(33,3)",140
165,Direct Computation,"(33,3)",140
166,Our Formula,"(34,1)",2
167,Direct Computation,"(34,1)",2
168,Our Formula,"(34,2)",16
169,Direct Computation,"(34,2)",16
170,Our Formula,"(35,1)",4
171,Direct Computation,"(35,1)",4
172,Our Formula,"(35,5)",4792
173,Direct Computation,"(35,5)",4792
176,Our Formula,"(36,1)",4
177,Direct Computation,"(36,1)",4
178,Our Formula,"(36,2)",16
179,Direct Computation,"(36,2)",16
180,Our Formula,"(36,3)",244
181,Direct Computation,"(36,3)",244
182,Our Formula,"(36,4)",980
183,Direct Computation,"(36,4)",980
184,Our Formula,"(36,6)",25304
185,Direct Computation,"(36,6)",25304
186,Our Formula,"(37,1)",2
187,Direct Computation,"(37,1)",2
188,Our Formula,"(38,1)",2
189,Direct Computation,"(38,1)",2
190,Our Formula,"(38,2)",18
191,Direct Computation,"(38,2)",18
