,func,input,result
2,Our Formula,"(1,1,1)",1
3,Direct Computation,"(1,1,1)",1
8,Our Formula,"(2,1,2)",1
9,Direct Computation,"(2,1,2)",1
18,Our Formula,"(3,1,1)",1
19,Direct Computation,"(3,1,1)",1
22,Our Formula,"(3,1,3)",1
23,Direct Computation,"(3,1,3)",1
36,Our Formula,"(4,1,2)",1
37,Direct Computation,"(4,1,2)",1
40,Our Formula,"(4,1,4)",1
41,Direct Computation,"(4,1,4)",1
56,Our Formula,"(4,4,2)",2
57,Direct Computation,"(4,4,2)",2
64,Our Formula,"(5,1,1)",1
65,Direct Computation,"(5,1,1)",1
72,Our Formula,"(5,1,5)",1
73,Direct Computation,"(5,1,5)",1
76,Our Formula,"(5,5,1)",2
77,Direct Computation,"(5,5,1)",2
80,Our Formula,"(5,5,3)",6
81,Direct Computation,"(5,5,3)",6
90,Our Formula,"(6,1,2)",1
91,Direct Computation,"(6,1,2)",1
98,Our Formula,"(6,1,6)",1
99,Direct Computation,"(6,1,6)",1
104,Our Formula,"(6,2,2)",2
105,Direct Computation,"(6,2,2)",2
118,Our Formula,"(6,3,2)",2
119,Direct Computation,"(6,3,2)",2
122,Our Formula,"(6,3,4)",2
123,Direct Computation,"(6,3,4)",2
132,Our Formula,"(6,6,2)",10
133,Direct Computation,"(6,6,2)",10
136,Our Formula,"(6,6,4)",8
137,Direct Computation,"(6,6,4)",8
144,Our Formula,"(7,1,1)",1
145,Direct Computation,"(7,1,1)",1
156,Our Formula,"(7,1,7)",1
157,Direct Computation,"(7,1,7)",1
160,Our Formula,"(7,7,1)",14
161,Direct Computation,"(7,7,1)",14
164,Our Formula,"(7,7,3)",45
165,Direct Computation,"(7,7,3)",45
168,Our Formula,"(7,7,5)",15
169,Direct Computation,"(7,7,5)",15
178,Our Formula,"(8,1,2)",2
179,Direct Computation,"(8,1,2)",2
182,Our Formula,"(8,1,4)",1
183,Direct Computation,"(8,1,4)",1
190,Our Formula,"(8,1,8)",1
191,Direct Computation,"(8,1,8)",1
200,Our Formula,"(8,2,4)",2
201,Direct Computation,"(8,2,4)",2
214,Our Formula,"(8,4,2)",5
215,Direct Computation,"(8,4,2)",5
218,Our Formula,"(8,4,4)",6
219,Direct Computation,"(8,4,4)",6
222,Our Formula,"(8,4,6)",3
223,Direct Computation,"(8,4,6)",3
232,Our Formula,"(8,8,2)",98
233,Direct Computation,"(8,8,2)",98
236,Our Formula,"(8,8,4)",96
237,Direct Computation,"(8,8,4)",96
240,Our Formula,"(8,8,6)",18
241,Direct Computation,"(8,8,6)",18
248,Our Formula,"(9,1,1)",1
249,Direct Computation,"(9,1,1)",1
264,Our Formula,"(9,1,9)",1
265,Direct Computation,"(9,1,9)",1
268,Our Formula,"(9,3,1)",2
269,Direct Computation,"(9,3,1)",2
272,Our Formula,"(9,3,3)",12
273,Direct Computation,"(9,3,3)",12
288,Our Formula,"(9,9,1)",102
289,Direct Computation,"(9,9,1)",102
292,Our Formula,"(9,9,3)",408
293,Direct Computation,"(9,9,3)",408
296,Our Formula,"(9,9,5)",210
297,Direct Computation,"(9,9,5)",210
300,Our Formula,"(9,9,7)",28
301,Direct Computation,"(9,9,7)",28
310,Our Formula,"(10,1,2)",1
311,Direct Computation,"(10,1,2)",1
326,Our Formula,"(10,1,10)",1
327,Direct Computation,"(10,1,10)",1
332,Our Formula,"(10,2,2)",4
333,Direct Computation,"(10,2,2)",4
354,Our Formula,"(10,5,2)",24
355,Direct Computation,"(10,5,2)",24
358,Our Formula,"(10,5,4)",28
359,Direct Computation,"(10,5,4)",28
362,Our Formula,"(10,5,6)",18
363,Direct Computation,"(10,5,6)",18
366,Our Formula,"(10,5,8)",4
367,Direct Computation,"(10,5,8)",4
374,Our Formula,"(11,1,1)",1
375,Direct Computation,"(11,1,1)",1
394,Our Formula,"(11,1,11)",1
395,Direct Computation,"(11,1,11)",1
400,Our Formula,"(12,1,2)",1
401,Direct Computation,"(12,1,2)",1
404,Our Formula,"(12,1,4)",1
405,Direct Computation,"(12,1,4)",1
408,Our Formula,"(12,1,6)",1
409,Direct Computation,"(12,1,6)",1
420,Our Formula,"(12,1,12)",1
421,Direct Computation,"(12,1,12)",1
426,Our Formula,"(12,2,2)",2
427,Direct Computation,"(12,2,2)",2
430,Our Formula,"(12,2,4)",2
431,Direct Computation,"(12,2,4)",2
452,Our Formula,"(12,3,2)",7
453,Direct Computation,"(12,3,2)",7
456,Our Formula,"(12,3,4)",12
457,Direct Computation,"(12,3,4)",12
460,Our Formula,"(12,3,6)",3
461,Direct Computation,"(12,3,6)",3
