,func,input,result
2,Our Formula,"(1,1,1)",1
3,Direct Computation,"(1,1,1)",1
6,Our Formula,"(2,1,1)",1
7,Direct Computation,"(2,1,1)",1
16,Our Formula,"(3,1,1)",2
17,Direct Computation,"(3,1,1)",2
28,Our Formula,"(4,1,1)",2
29,Direct Computation,"(4,1,1)",2
40,Our Formula,"(4,4,2)",1
41,Direct Computation,"(4,4,2)",1
46,Our Formula,"(5,1,0)",2
47,Direct Computation,"(5,1,0)",2
48,Our Formula,"(5,1,1)",2
49,Direct Computation,"(5,1,1)",2
52,Our Formula,"(5,5,1)",2
53,Direct Computation,"(5,5,1)",2
56,Our Formula,"(5,5,3)",2
57,Direct Computation,"(5,5,3)",2
64,Our Formula,"(6,1,1)",2
65,Direct Computation,"(6,1,1)",2
66,Our Formula,"(6,2,0)",1
67,Direct Computation,"(6,2,0)",1
70,Our Formula,"(6,2,2)",1
71,Direct Computation,"(6,2,2)",1
74,Our Formula,"(6,3,1)",1
75,Direct Computation,"(6,3,1)",1
78,Our Formula,"(6,3,3)",1
79,Direct Computation,"(6,3,3)",1
80,Our Formula,"(6,6,0)",11
81,Direct Computation,"(6,6,0)",11
84,Our Formula,"(6,6,2)",5
85,Direct Computation,"(6,6,2)",5
88,Our Formula,"(6,6,4)",2
89,Direct Computation,"(6,6,4)",2
94,Our Formula,"(7,1,0)",4
95,Direct Computation,"(7,1,0)",4
96,Our Formula,"(7,1,1)",2
97,Direct Computation,"(7,1,1)",2
98,Our Formula,"(7,7,0)",70
99,Direct Computation,"(7,7,0)",70
100,Our Formula,"(7,7,1)",14
101,Direct Computation,"(7,7,1)",14
104,Our Formula,"(7,7,3)",15
105,Direct Computation,"(7,7,3)",15
108,Our Formula,"(7,7,5)",3
109,Direct Computation,"(7,7,5)",3
116,Our Formula,"(8,1,1)",4
117,Direct Computation,"(8,1,1)",4
118,Our Formula,"(8,2,0)",1
119,Direct Computation,"(8,2,0)",1
122,Our Formula,"(8,2,2)",1
123,Direct Computation,"(8,2,2)",1
124,Our Formula,"(8,4,0)",4
125,Direct Computation,"(8,4,0)",4
128,Our Formula,"(8,4,2)",5
129,Direct Computation,"(8,4,2)",5
132,Our Formula,"(8,4,4)",1
133,Direct Computation,"(8,4,4)",1
134,Our Formula,"(8,8,0)",548
135,Direct Computation,"(8,8,0)",548
138,Our Formula,"(8,8,2)",49
139,Direct Computation,"(8,8,2)",49
142,Our Formula,"(8,8,4)",24
143,Direct Computation,"(8,8,4)",24
146,Our Formula,"(8,8,6)",3
147,Direct Computation,"(8,8,6)",3
152,Our Formula,"(9,1,0)",4
153,Direct Computation,"(9,1,0)",4
154,Our Formula,"(9,1,1)",2
155,Direct Computation,"(9,1,1)",2
156,Our Formula,"(9,3,0)",2
157,Direct Computation,"(9,3,0)",2
158,Our Formula,"(9,3,1)",5
159,Direct Computation,"(9,3,1)",5
162,Our Formula,"(9,3,3)",3
163,Direct Computation,"(9,3,3)",3
164,Our Formula,"(9,9,0)",4192
165,Direct Computation,"(9,9,0)",4192
166,Our Formula,"(9,9,1)",102
167,Direct Computation,"(9,9,1)",102
170,Our Formula,"(9,9,3)",136
171,Direct Computation,"(9,9,3)",136
174,Our Formula,"(9,9,5)",42
175,Direct Computation,"(9,9,5)",42
178,Our Formula,"(9,9,7)",4
179,Direct Computation,"(9,9,7)",4
184,Our Formula,"(10,1,0)",2
185,Direct Computation,"(10,1,0)",2
186,Our Formula,"(10,1,1)",2
187,Direct Computation,"(10,1,1)",2
188,Our Formula,"(10,2,0)",6
189,Direct Computation,"(10,2,0)",6
192,Our Formula,"(10,2,2)",2
193,Direct Computation,"(10,2,2)",2
194,Our Formula,"(10,5,0)",46
195,Direct Computation,"(10,5,0)",46
196,Our Formula,"(10,5,1)",11
197,Direct Computation,"(10,5,1)",11
200,Our Formula,"(10,5,3)",16
201,Direct Computation,"(10,5,3)",16
204,Our Formula,"(10,5,5)",3
205,Direct Computation,"(10,5,5)",3
206,Our Formula,"(11,1,0)",8
207,Direct Computation,"(11,1,0)",8
208,Our Formula,"(11,1,1)",2
209,Direct Computation,"(11,1,1)",2
212,Our Formula,"(12,1,1)",4
213,Direct Computation,"(12,1,1)",4
214,Our Formula,"(12,2,0)",2
215,Direct Computation,"(12,2,0)",2
218,Our Formula,"(12,2,2)",2
219,Direct Computation,"(12,2,2)",2
220,Our Formula,"(12,3,0)",8
221,Direct Computation,"(12,3,0)",8
222,Our Formula,"(12,3,1)",6
223,Direct Computation,"(12,3,1)",6
226,Our Formula,"(12,3,3)",6
