,func,input,result
0,Our Formula,"(1,1)",1
1,Direct Computation,"(1,1)",1
2,Our Formula,"(2,1)",1
3,Direct Computation,"(2,1)",1
6,Our Formula,"(3,1)",2
7,Direct Computation,"(3,1)",2
10,Our Formula,"(4,1)",2
11,Direct Computation,"(4,1)",2
14,Our Formula,"(4,4)",4
15,Direct Computation,"(4,4)",4
16,Our Formula,"(5,1)",4
17,Direct Computation,"(5,1)",4
18,Our Formula,"(5,5)",20
19,Direct Computation,"(5,5)",20
20,Our Formula,"(6,1)",2
21,Direct Computation,"(6,1)",2
22,Our Formula,"(6,2)",4
23,Direct Computation,"(6,2)",4
24,Our Formula,"(6,3)",6
25,Direct Computation,"(6,3)",6
26,Our Formula,"(6,6)",108
27,Direct Computation,"(6,6)",108
28,Our Formula,"(7,1)",6
29,Direct Computation,"(7,1)",6
30,Our Formula,"(7,7)",714
31,Direct Computation,"(7,7)",714
32,Our Formula,"(8,1)",4
33,Direct Computation,"(8,1)",4
34,Our Formula,"(8,2)",4
35,Direct Computation,"(8,2)",4
36,Our Formula,"(8,4)",40
37,Direct Computation,"(8,4)",40
38,Our Formula,"(9,1)",6
39,Direct Computation,"(9,1)",6
40,Our Formula,"(9,3)",30
41,Direct Computation,"(9,3)",30
42,Our Formula,"(10,1)",4
43,Direct Computation,"(10,1)",4
44,Our Formula,"(10,2)",16
45,Direct Computation,"(10,2)",16
46,Our Formula,"(10,5)",380
47,Direct Computation,"(10,5)",380
48,Our Formula,"(11,1)",10
49,Direct Computation,"(11,1)",10
50,Our Formula,"(12,1)",4
51,Direct Computation,"(12,1)",4
52,Our Formula,"(12,2)",8
53,Direct Computation,"(12,2)",8
54,Our Formula,"(12,3)",60
55,Direct Computation,"(12,3)",60
56,Our Formula,"(12,4)",312
57,Direct Computation,"(12,4)",312
58,Our Formula,"(12,6)",3768
59,Direct Computation,"(12,6)",3768
60,Our Formula,"(13,1)",12
61,Direct Computation,"(13,1)",12
62,Our Formula,"(14,1)",6
63,Direct Computation,"(14,1)",6
64,Our Formula,"(14,2)",36
65,Direct Computation,"(14,2)",36
66,Our Formula,"(14,7)",46074
67,Direct Computation,"(14,7)",46074
68,Our Formula,"(15,1)",8
69,Direct Computation,"(15,1)",8
70,Our Formula,"(15,3)",192
71,Direct Computation,"(15,3)",192
72,Our Formula,"(15,5)",3880
73,Direct Computation,"(15,5)",3880
74,Our Formula,"(16,1)",8
75,Direct Computation,"(16,1)",8
76,Our Formula,"(16,2)",24
77,Direct Computation,"(16,2)",24
78,Our Formula,"(16,4)",736
79,Direct Computation,"(16,4)",736
80,Our Formula,"(17,1)",16
81,Direct Computation,"(17,1)",16
82,Our Formula,"(18,1)",6
83,Direct Computation,"(18,1)",6
84,Our Formula,"(18,2)",48
85,Direct Computation,"(18,2)",48
86,Our Formula,"(18,3)",138
87,Direct Computation,"(18,3)",138
88,Our Formula,"(18,6)",58128
89,Direct Computation,"(18,6)",58128
90,Our Formula,"(19,1)",18
91,Direct Computation,"(19,1)",18
92,Our Formula,"(20,1)",8
93,Direct Computation,"(20,1)",8
94,Our Formula,"(20,2)",32
95,Direct Computation,"(20,2)",32
96,Our Formula,"(20,4)",2960
97,Direct Computation,"(20,4)",2960
98,Our Formula,"(20,5)",12280
99,Direct Computation,"(20,5)",12280
100,Our Formula,"(21,1)",12
101,Direct Computation,"(21,1)",12
102,Our Formula,"(21,3)",576
103,Direct Computation,"(21,3)",576
104,Our Formula,"(21,7)",1049748
105,Direct Computation,"(21,7)",1049748
106,Our Formula,"(22,1)",10
107,Direct Computation,"(22,1)",10
108,Our Formula,"(22,2)",100
109,Direct Computation,"(22,2)",100
110,Our Formula,"(23,1)",22
111,Direct Computation,"(23,1)",22
112,Our Formula,"(24,1)",8
113,Direct Computation,"(24,1)",8
114,Our Formula,"(24,2)",40
115,Direct Computation,"(24,2)",40
116,Our Formula,"(24,3)",504
117,Direct Computation,"(24,3)",504
118,Our Formula,"(24,4)",2544
119,Direct Computation,"(24,4)",2544
120,Our Formula,"(24,6)",245208
121,Direct Computation,"(24,6)",245208
122,Our Formula,"(25,1)",20
123,Direct Computation,"(25,1)",20
124,Our Formula,"(25,5)",59980
125,Direct Computation,"(25,5)",59980
126,Our Formula,"(26,1)",12
127,Direct Computation,"(26,1)",12
128,Our Formula,"(26,2)",144
129,Direct Computation,"(26,2)",144
130,Our Formula,"(27,1)",18
131,Direct Computation,"(27,1)",18
132,Our Formula,"(27,3)",954
133,Direct Computation,"(27,3)",954
134,Our Formula,"(28,1)",12
135,Direct Computation,"(28,1)",12
136,Our Formula,"(28,2)",72
137,Direct Computation,"(28,2)",72
138,Our Formula,"(28,4)",12264
139,Direct Computation,"(28,4)",12264
140,Our Formula,"(28,7)",5898228
141,Direct Computation,"(28,7)",5898228
142,Our Formula,"(29,1)",28
143,Direct Computation,"(29,1)",28
144,Our Formula,"(30,1)",8
145,Direct Computation,"(30,1)",8
146,Our Formula,"(30,2)",112
147,Direct Computation,"(30,2)",112
148,Our Formula,"(30,3)",792
149,Direct Computation,"(30,3)",792
150,Our Formula,"(30,5)",62200
151,Direct Computation,"(30,5)",62200
152,Our Formula,"(30,6)",1499088
153,Direct Computation,"(30,6)",1499088
154,Our Formula,"(31,1)",30
155,Direct Computation,"(31,1)",30
156,Our Formula,"(32,1)",16
157,Direct Computation,"(32,1)",16
158,Our Formula,"(32,2)",112
159,Direct Computation,"(32,2)",112
160,Our Formula,"(32,4)",12160
161,Direct Computation,"(32,4)",12160
162,Our Formula,"(33,1)",20
163,Direct Computation,"(33,1)",20
164,Our Formula,"(33,3)",2400
165,Direct Computation,"(33,3)",2400
166,Our Formula,"(34,1)",16
167,Direct Computation,"(34,1)",16
168,Our Formula,"(34,2)",256
169,Direct Computation,"(34,2)",256
170,Our Formula,"(35,1)",24
171,Direct Computation,"(35,1)",24
172,Our Formula,"(35,5)",345720
173,Direct Computation,"(35,5)",345720
176,Our Formula,"(36,1)",12
177,Direct Computation,"(36,1)",12
178,Our Formula,"(36,2)",96
179,Direct Computation,"(36,2)",96
180,Our Formula,"(36,3)",1140
181,Direct Computation,"(36,3)",1140
182,Our Formula,"(36,4)",26136
183,Direct Computation,"(36,4)",26136
184,Our Formula,"(36,6)",1864992
185,Direct Computation,"(36,6)",1864992
186,Our Formula,"(37,1)",36
187,Direct Computation,"(37,1)",36
188,Our Formula,"(38,1)",18
189,Direct Computation,"(38,1)",18
190,Our Formula,"(38,2)",324
