n/t = ,func,input,result
5,Our Formula,"(5,1)",6
1,Our Formula,"(5,5)",4
larger than 5,Our Formula,"(6,1)",8
2,Our Formula,"(6,3)",4
larger than 5,Our Formula,"(7,1)",8
1,Our Formula,"(7,7)",32
larger than 5,Our Formula,"(8,1)",16
larger than 5,Our Formula,"(9,1)",10
3,Our Formula,"(9,3)",18
1,Our Formula,"(9,9)",284
larger than 5,Our Formula,"(10,1)",12
2,Our Formula,"(10,5)",60
larger than 5,Our Formula,"(11,1)",12
1,Our Formula,"(11,11)",3244
larger than 5,Our Formula,"(12,1)",24
4,Our Formula,"(12,3)",40
larger than 5,Our Formula,"(13,1)",14
1,Our Formula,"(13,13)",43730
larger than 5,Our Formula,"(14,1)",16
2,Our Formula,"(14,7)",928
larger than 5,Our Formula,"(15,1)",24
5,Our Formula,"(15,3)",64
3,Our Formula,"(15,5)",320
1,Our Formula,"(15,15)",689848
larger than 5,Our Formula,"(16,1)",28
larger than 5,Our Formula,"(17,1)",18
1,Our Formula,"(17,17)",12458782
larger than 5,Our Formula,"(18,1)",20
larger than 5,Our Formula,"(18,3)",116
2,Our Formula,"(18,9)",18544
larger than 5,Our Formula,"(19,1)",20
1,Our Formula,"(19,19)",253142180
larger than 5,Our Formula,"(20,1)",36
4,Our Formula,"(20,5)",1068
larger than 5,Our Formula,"(21,1)",32
larger than 5,Our Formula,"(21,3)",160
3,Our Formula,"(21,7)",7904
1,Our Formula,"(21,21)",5712030336
larger than 5,Our Formula,"(22,1)",24
2,Our Formula,"(22,11)",474744
larger than 5,Our Formula,"(23,1)",24
1,Our Formula,"(23,23)",141645386200
larger than 5,Our Formula,"(24,1)",64
larger than 5,Our Formula,"(24,3)",304
larger than 5,Our Formula,"(25,1)",26
5,Our Formula,"(25,5)",2330
1,Our Formula,"(25,25)",3827217749956
larger than 5,Our Formula,"(26,1)",28
2,Our Formula,"(26,13)",14365684
larger than 5,Our Formula,"(27,1)",28
larger than 5,Our Formula,"(27,3)",324
3,Our Formula,"(27,9)",259776
1,Our Formula,"(27,27)",111876916430768
larger than 5,Our Formula,"(28,1)",48
4,Our Formula,"(28,7)",38064
larger than 5,Our Formula,"(29,1)",30
1,Our Formula,"(29,29)",3516904353610570
larger than 5,Our Formula,"(30,1)",48
larger than 5,Our Formula,"(30,3)",440
larger than 5,Our Formula,"(30,5)",5104
2,Our Formula,"(30,15)",504819528
larger than 5,Our Formula,"(31,1)",32
1,Our Formula,"(31,31)",118278195404846627
larger than 5,Our Formula,"(32,1)",52
larger than 5,Our Formula,"(33,1)",48
larger than 5,Our Formula,"(33,3)",560
3,Our Formula,"(33,11)",10724720
1,Our Formula,"(33,33)",4236758462612746337
larger than 5,Our Formula,"(34,1)",36
2,Our Formula,"(34,17)",20173488156
larger than 5,Our Formula,"(35,1)",48
larger than 5,Our Formula,"(35,5)",9344
5,Our Formula,"(35,7)",116544
1,Our Formula,"(35,35)",161009456723941865459
larger than 5,Our Formula,"(36,1)",60
larger than 5,Our Formula,"(36,3)",940
4,Our Formula,"(36,9)",1807360
larger than 5,Our Formula,"(37,1)",38
1,Our Formula,"(37,37)",6469360165334881248551
larger than 5,Our Formula,"(38,1)",40
2,Our Formula,"(38,19)",902039390152
larger than 5,Our Formula,"(39,1)",56
larger than 5,Our Formula,"(39,3)",896
3,Our Formula,"(39,13)",526726280
1,Our Formula,"(39,39)",273989228524397664176526
larger than 5,Our Formula,"(40,1)",96
larger than 5,Our Formula,"(40,5)",19296
larger than 5,Our Formula,"(41,1)",42
1,Our Formula,"(41,41)",12197695065613375126619249
larger than 5,Our Formula,"(42,1)",64
larger than 5,Our Formula,"(42,3)",1120
larger than 5,Our Formula,"(42,7)",327424
2,Our Formula,"(42,21)",44582020862880
larger than 5,Our Formula,"(43,1)",44
1,Our Formula,"(43,43)",569407226733766894889352821
larger than 5,Our Formula,"(44,1)",72
4,Our Formula,"(44,11)",106826280
larger than 5,Our Formula,"(45,1)",60
larger than 5,Our Formula,"(45,3)",1516
larger than 5,Our Formula,"(45,5)",27368
5,Our Formula,"(45,9)",7657048
3,Our Formula,"(45,15)",29948322632
1,Our Formula,"(45,45)",27809920380714799864249354517
larger than 5,Our Formula,"(46,1)",48
2,Our Formula,"(46,23)",2411606447792304
larger than 5,Our Formula,"(47,1)",48
1,Our Formula,"(47,47)",1418164661532901407569388340345
larger than 5,Our Formula,"(48,1)",112
larger than 5,Our Formula,"(48,3)",1952
larger than 5,Our Formula,"(49,1)",50
larger than 5,Our Formula,"(49,7)",764610
1,Our Formula,"(49,49)",75370036714218521196001092432679
larger than 5,Our Formula,"(50,1)",52
larger than 5,Our Formula,"(50,5)",43756
2,Our Formula,"(50,25)",141633845169875888
larger than 5,Our Formula,"(51,1)",72
larger than 5,Our Formula,"(51,3)",1920
3,Our Formula,"(51,17)",1930047500408
1,Our Formula,"(51,51)",4167521285395641790524454372988621
larger than 5,Our Formula,"(52,1)",84
4,Our Formula,"(52,13)",7490103132
larger than 5,Our Formula,"(53,1)",54
1,Our Formula,"(53,53)",239378241703714699088079268137254573
larger than 5,Our Formula,"(54,1)",56
larger than 5,Our Formula,"(54,3)",2288
larger than 5,Our Formula,"(54,9)",27503480
2,Our Formula,"(54,27)",8970704209985763168
larger than 5,Our Formula,"(55,1)",72
larger than 5,Our Formula,"(55,5)",65856
5,Our Formula,"(55,11)",616973064
1,Our Formula,"(55,55)",14262380613127147451496724745378690644
larger than 5,Our Formula,"(56,1)",128
larger than 5,Our Formula,"(56,7)",1805696
larger than 5,Our Formula,"(57,1)",80
larger than 5,Our Formula,"(57,3)",2640
3,Our Formula,"(57,19)",138783539014544
1,Our Formula,"(57,57)",880276062285640343535498509373863678784
larger than 5,Our Formula,"(58,1)",60
2,Our Formula,"(58,29)",609280401407927909270
larger than 5,Our Formula,"(59,1)",60
1,Our Formula,"(59,59)",56211555650712739286894727445055841335229
larger than 5,Our Formula,"(60,1)",144
larger than 5,Our Formula,"(60,3)",3696
larger than 5,Our Formula,"(60,5)",110256
4,Our Formula,"(60,15)",605674289680
larger than 5,Our Formula,"(61,1)",62
1,Our Formula,"(61,61)",3709449950065293917196624734744373832996603
larger than 5,Our Formula,"(62,1)",64
2,Our Formula,"(62,31)",44159328496606822008898
larger than 5,Our Formula,"(63,1)",80
larger than 5,Our Formula,"(63,3)",3856
larger than 5,Our Formula,"(63,7)",3273920
larger than 5,Our Formula,"(63,9)",80660000
3,Our Formula,"(63,21)",11000914664355472
1,Our Formula,"(63,63)",252697715794904333085373109382899921636090209
larger than 5,Our Formula,"(64,1)",100
larger than 5,Our Formula,"(65,1)",84
larger than 5,Our Formula,"(65,5)",138488
5,Our Formula,"(65,13)",58421398764
1,Our Formula,"(65,65)",17752593513351557784344169761594083130550333618
larger than 5,Our Formula,"(66,1)",96
larger than 5,Our Formula,"(66,3)",4048
larger than 5,Our Formula,"(66,11)",2821263328
2,Our Formula,"(66,33)",3400997701132930842209466
larger than 5,Our Formula,"(67,1)",68
1,Our Formula,"(67,67)",1284928880433251387332781584773048280828839849777
larger than 5,Our Formula,"(68,1)",108
4,Our Formula,"(68,17)",55334232021588
larger than 5,Our Formula,"(69,1)",96
larger than 5,Our Formula,"(69,3)",4576
3,Our Formula,"(69,23)",952045535248928063
1,Our Formula,"(69,69)",95733971086451417809130942859832124952213909760721
larger than 5,Our Formula,"(70,1)",96
larger than 5,Our Formula,"(70,5)",194016
larger than 5,Our Formula,"(70,7)",6121536
2,Our Formula,"(70,35)",277306983437336901939603510
larger than 5,Our Formula,"(71,1)",72
1,Our Formula,"(71,71)",7335982790515522137993122371117720808014209331357480
larger than 5,Our Formula,"(72,1)",160
larger than 5,Our Formula,"(72,3)",7008
larger than 5,Our Formula,"(72,9)",222887872
larger than 5,Our Formula,"(73,1)",74
1,Our Formula,"(73,73)",577712840350053602046820510499717923685262729206509851
larger than 5,Our Formula,"(74,1)",76
2,Our Formula,"(74,37)",23859728823529339867518978214
larger than 5,Our Formula,"(75,1)",104
larger than 5,Our Formula,"(75,3)",5824
larger than 5,Our Formula,"(75,5)",274568
5,Our Formula,"(75,15)",6331683112168
3,Our Formula,"(75,25)",89251560417899605072
1,Our Formula,"(75,75)",46719957510780783424610078326680958899817465840268985087
larger than 5,Our Formula,"(76,1)",120
4,Our Formula,"(76,19)",5624985964594008
larger than 5,Our Formula,"(77,1)",96
larger than 5,Our Formula,"(77,7)",10755744
larger than 5,Our Formula,"(77,11)",10283925728
1,Our Formula,"(77,77)",3877235822793204186538665339285875138616282068541258371827
larger than 5,Our Formula,"(78,1)",112
larger than 5,Our Formula,"(78,3)",6552
larger than 5,Our Formula,"(78,13)",338988949456
