,func,input,result
6,Ratio of plus ones to total,(12),31.25
7,Ratio of minus ones to total,(12),2.083333333333333
10,Ratio of plus ones to total,(16),24.479166666666664
11,Ratio of minus ones to total,(16),0.5208333333333333
14,Ratio of plus ones to total,(20),14.374999999999998
15,Ratio of minus ones to total,(20),0.625
18,Ratio of plus ones to total,(24),20.0
19,Ratio of minus ones to total,(24),0.8333333333333334
22,Ratio of plus ones to total,(28),9.226190476190476
23,Ratio of minus ones to total,(28),0.2976190476190476
26,Ratio of plus ones to total,(32),9.654017857142858
27,Ratio of minus ones to total,(32),0.16741071428571427
30,Ratio of plus ones to total,(36),9.027777777777777
31,Ratio of minus ones to total,(36),0.23148148148148145
34,Ratio of plus ones to total,(40),9.027777777777777
35,Ratio of minus ones to total,(40),0.2777777777777778
38,Ratio of plus ones to total,(44),5.340909090909091
39,Ratio of minus ones to total,(44),0.11363636363636363
42,Ratio of plus ones to total,(48),11.647727272727272
43,Ratio of minus ones to total,(48),0.2840909090909091
46,Ratio of plus ones to total,(52),4.407051282051282
47,Ratio of minus ones to total,(52),0.08012820512820512
50,Ratio of plus ones to total,(56),5.769230769230769
51,Ratio of minus ones to total,(56),0.13736263736263737
54,Ratio of plus ones to total,(60),7.8273809523809526
55,Ratio of minus ones to total,(60),0.26785714285714285
58,Ratio of plus ones to total,(64),4.329427083333334
59,Ratio of minus ones to total,(64),0.045572916666666664
62,Ratio of plus ones to total,(68),3.262867647058824
63,Ratio of minus ones to total,(68),0.04595588235294117
66,Ratio of plus ones to total,(72),5.637254901960785
67,Ratio of minus ones to total,(72),0.10893246187363835
70,Ratio of plus ones to total,(76),2.8874269005847952
71,Ratio of minus ones to total,(76),0.03654970760233918
74,Ratio of plus ones to total,(80),5.1069078947368425
75,Ratio of minus ones to total,(80),0.09046052631578948
78,Ratio of plus ones to total,(84),5.029761904761905
79,Ratio of minus ones to total,(84),0.12896825396825395
82,Ratio of plus ones to total,(88),3.3333333333333335
83,Ratio of minus ones to total,(88),0.05411255411255411
86,Ratio of plus ones to total,(92),2.3468379446640317
87,Ratio of minus ones to total,(92),0.024703557312252964
90,Ratio of plus ones to total,(96),4.9705615942028984
91,Ratio of minus ones to total,(96),0.0792572463768116
94,Ratio of plus ones to total,(100),2.5749999999999997
95,Ratio of minus ones to total,(100),0.025
98,Ratio of plus ones to total,(104),2.75
99,Ratio of minus ones to total,(104),0.038461538461538464
102,Ratio of plus ones to total,(108),2.8549382716049383
103,Ratio of minus ones to total,(108),0.0257201646090535
106,Ratio of plus ones to total,(112),3.2297178130511464
107,Ratio of minus ones to total,(112),0.04409171075837742
110,Ratio of plus ones to total,(116),1.8318965517241377
111,Ratio of minus ones to total,(116),0.01539408866995074
114,Ratio of plus ones to total,(120),4.885057471264368
115,Ratio of minus ones to total,(120),0.12931034482758622
118,Ratio of plus ones to total,(124),1.706989247311828
119,Ratio of minus ones to total,(124),0.013440860215053764
122,Ratio of plus ones to total,(128),2.054719002016129
123,Ratio of minus ones to total,(128),0.011813256048387098
126,Ratio of plus ones to total,(132),2.9237689393939394
127,Ratio of minus ones to total,(132),0.04971590909090909
130,Ratio of plus ones to total,(136),2.0359848484848486
131,Ratio of minus ones to total,(136),0.022281639928698752
134,Ratio of plus ones to total,(140),2.3126750700280114
135,Ratio of minus ones to total,(140),0.04026610644257703
138,Ratio of plus ones to total,(144),3.1398809523809526
139,Ratio of minus ones to total,(144),0.034722222222222224
142,Ratio of plus ones to total,(148),1.417042042042042
143,Ratio of minus ones to total,(148),0.009384384384384385
146,Ratio of plus ones to total,(152),1.8018018018018018
147,Ratio of minus ones to total,(152),0.017780938833570414
150,Ratio of plus ones to total,(156),2.416497975708502
151,Ratio of minus ones to total,(156),0.03514394961763383
154,Ratio of plus ones to total,(160),2.242588141025641
155,Ratio of minus ones to total,(160),0.0250400641025641
158,Ratio of plus ones to total,(164),1.2728658536585364
159,Ratio of minus ones to total,(164),0.007621951219512195
162,Ratio of plus ones to total,(168),3.1358885017421603
163,Ratio of minus ones to total,(168),0.06291134339914828
166,Ratio of plus ones to total,(172),1.2112403100775195
167,Ratio of minus ones to total,(172),0.0069213732004429675
170,Ratio of plus ones to total,(176),1.8512156448202959
171,Ratio of minus ones to total,(176),0.017177589852008457
174,Ratio of plus ones to total,(180),2.2748316498316496
175,Ratio of minus ones to total,(180),0.03156565656565657
178,Ratio of plus ones to total,(184),1.4646464646464648
179,Ratio of minus ones to total,(184),0.012077294685990338
182,Ratio of plus ones to total,(188),1.1043015726179464
183,Ratio of minus ones to total,(188),0.005781683626271971
186,Ratio of plus ones to total,(192),2.314660904255319
187,Ratio of minus ones to total,(192),0.020777925531914893
190,Ratio of plus ones to total,(196),1.2086977648202137
191,Ratio of minus ones to total,(196),0.006073858114674441
194,Ratio of plus ones to total,(200),1.607142857142857
195,Ratio of minus ones to total,(200),0.012244897959183673
198,Ratio of plus ones to total,(204),1.7935049019607845
199,Ratio of minus ones to total,(204),0.02022058823529412
202,Ratio of plus ones to total,(208),1.524399824032177
203,Ratio of minus ones to total,(208),0.012176344896933132
206,Ratio of plus ones to total,(212),0.975145137880987
207,Ratio of minus ones to total,(212),0.0045355587808417995
210,Ratio of plus ones to total,(216),1.781970649895178
211,Ratio of minus ones to total,(216),0.012617439242177186
214,Ratio of plus ones to total,(220),1.3514309764309764
215,Ratio of minus ones to total,(220),0.015572390572390573
218,Ratio of plus ones to total,(224),1.4393939393939394
219,Ratio of minus ones to total,(224),0.012175324675324676
222,Ratio of plus ones to total,(228),1.5886069340016709
223,Ratio of minus ones to total,(228),0.01609927596769702
226,Ratio of plus ones to total,(232),1.1434837092731829
227,Ratio of minus ones to total,(232),0.0075620084694494865
230,Ratio of plus ones to total,(236),0.8730274693161894
231,Ratio of minus ones to total,(236),0.003652834599649328
234,Ratio of plus ones to total,(240),2.6995056497175143
235,Ratio of minus ones to total,(240),0.037076271186440676
238,Ratio of plus ones to total,(244),0.8435792349726776
239,Ratio of minus ones to total,(244),0.0034153005464480873
242,Ratio of plus ones to total,(248),1.0655737704918031
243,Ratio of minus ones to total,(248),0.006610259122157588
246,Ratio of plus ones to total,(252),1.475294418842806
247,Ratio of minus ones to total,(252),0.015289867440405076
250,Ratio of plus ones to total,(256),1.0014609685019842
251,Ratio of minus ones to total,(256),0.003003317212301587
254,Ratio of plus ones to total,(260),1.118790064102564
255,Ratio of minus ones to total,(260),0.011017628205128206
258,Ratio of plus ones to total,(264),1.822843822843823
259,Ratio of minus ones to total,(264),0.024475524475524476
262,Ratio of plus ones to total,(268),0.7660560832202623
263,Ratio of minus ones to total,(268),0.0028267752148349165
266,Ratio of plus ones to total,(272),1.1260905948200177
267,Ratio of minus ones to total,(272),0.0070305640913081655
270,Ratio of plus ones to total,(276),1.293061691079594
271,Ratio of minus ones to total,(276),0.010898628225993955
274,Ratio of plus ones to total,(280),1.440648723257419
275,Ratio of minus ones to total,(280),0.01984126984126984
278,Ratio of plus ones to total,(284),0.721830985915493
279,Ratio of minus ones to total,(284),0.0025150905432595573
282,Ratio of plus ones to total,(288),1.411914775691184
283,Ratio of minus ones to total,(288),0.009577138758476787
